influencer_id,name,platform,niche,country,followers,following,follower_following_ratio,posts,account_creation_year,account_age_days,posting_freq_per_week,avg_likes,avg_comments,avg_views,engagement_rate,follower_growth_30d,bot_score,fraud_flag,sentiment_score,content_type,relevance_score,age_13_17_pct,age_18_24_pct,age_25_34_pct,age_35_44_pct,age_45_plus_pct,male_pct,female_pct,other_pct,estimated_cpa,estimated_roi_score
inf_100010,Jamie Nguyen,Instagram,Entertainment,United States,1231,344,3.58,766,2023,870,4,6,0,50,0.0039,-16,0.189,1,-0.307,Photo,0.266,0.063,0.421,0.409,0.072,0.035,0.14,0.857,0.003,4536.54,0
inf_100011,Drew Moore,Twitter,Food,Japan,507,250,2.03,115,2020,2181,5,16,0,50,0.0313,4,0.163,1,-0.231,Thread,0.466,0.04,0.116,0.307,0.219,0.319,0.421,0.572,0.007,675.84,0
inf_100012,Alex Thomas,TikTok,Photography,Indonesia,645,85,7.59,128,2018,2646,6,15,0,1885,0.0305,33,0.228,1,-0.033,Short,0.626,0.038,0.142,0.296,0.161,0.363,0.527,0.47,0.003,879.15,0.005
inf_100013,Jamie White,Instagram,Beauty,India,37898,6908,5.49,138,2017,3187,5,342,39,1302,0.0144,-273,0.171,0,0.058,Story,0.249,0.038,0.384,0.269,0.043,0.265,0.551,0.448,0.001,1288.19,0
inf_100014,Blake White,Instagram,Travel,Canada,2334,94,24.83,431,2016,3551,2,72,8,273,0.0358,-33,0.471,0,0.53,Reel,0.211,0.01,0.099,0.166,0.024,0.702,0.38,0.617,0.004,165.89,0
inf_100015,Robin Rodriguez,Instagram,Fitness,India,74334,1885,39.43,185,2019,2242,5,1374,91,4998,0.0175,30339,0.791,1,0.029,Story,0.173,0.073,0.151,0.264,0.095,0.417,0.467,0.531,0.002,2332.25,0
inf_100016,Morgan Lopez,Instagram,Health,Mexico,2710,641,4.23,237,2024,553,7,30,1,89,0.0178,721,1,1,-0.2,Reel,0.444,0.001,0.377,0.186,0.27,0.167,0.275,0.724,0.001,815.43,0
inf_100017,Sydney Kumar,YouTube,Gaming,Spain,576,18,32,99,2021,1805,4,23,3,516,0.0382,-10,0.122,0,0.345,Shorts,0.644,0.047,0.251,0.342,0.094,0.266,0.567,0.427,0.006,289.05,0
inf_100018,Finley Walker,Instagram,Art,India,1069,155,6.9,6,2021,1585,4,38,6,50,0.0352,-1,0.171,0,0.373,Reel,0.397,0.009,0.136,0.293,0.066,0.496,0.931,0.066,0.002,846.12,0
inf_100019,Alex Clark,Instagram,Photography,India,46150,3991,11.56,535,2017,2962,3,1085,30,1408,0.0192,956,0.356,0,0.086,Reel,0.139,0.046,0.163,0.441,0.04,0.31,0.413,0.587,0.001,615.38,0
inf_100020,Finley Brown,YouTube,Travel,Spain,6894,1212,5.69,596,2017,2936,4,113,4,8098,0.0265,60,0.401,0,-0.011,Shorts,0.684,0.013,0.147,0.418,0.155,0.267,0.182,0.816,0.002,1416.52,0
inf_100021,Charlie Rodriguez,Instagram,Health,United Kingdom,2657,795,3.34,596,2020,2024,5,95,11,238,0.0294,-72,0.268,0,0.489,Carousel,0.181,0.032,0.059,0.085,0.129,0.695,0.131,0.867,0.002,433.44,0
inf_100022,Quinn Kumar,Instagram,Lifestyle,Germany,8253,2467,3.35,575,2020,1944,7,340,50,1353,0.0406,419,0.443,0,0.095,Photo,0.346,0.014,0.155,0.153,0.09,0.588,0.578,0.418,0.004,195.34,0
inf_100023,Casey Lee,Instagram,Food,Australia,14259,2662,5.36,338,2017,3233,8,253,37,583,0.0199,-329,0.114,0,-0.27,Reel,0.168,0.078,0.108,0.315,0.183,0.316,0.257,0.737,0.007,630.94,0
inf_100024,Elliot Miller,YouTube,Photography,Kenya,52871,11173,4.73,231,2019,2426,5,744,100,90755,0.0103,3390,0.482,0,-0.081,Long-form,0.379,0.014,0.178,0.142,0.295,0.37,0.74,0.257,0.003,3043.71,0
inf_100025,Jordan Johnson,TikTok,Parenting,India,74836,23111,3.24,372,2022,1331,7,1297,210,162912,0.0238,1088,0.246,0,0.188,Short,0.197,0.01,0.42,0.138,0.04,0.392,0.786,0.207,0.008,496.94,0
inf_100026,Skyler Wang,Instagram,Fitness,Australia,3593,799,4.5,184,2017,3272,5,87,4,134,0.0235,149,0.229,0,-0.044,Carousel,0.393,0.013,0.142,0.238,0.088,0.519,0.777,0.22,0.003,235.84,0.034
inf_100027,Rowan Walker,YouTube,Lifestyle,Mexico,1060,118,8.98,29,2020,1952,5,23,0,2987,0.026,27,0.159,1,0.252,Shorts,0.015,0.021,0.054,0.278,0.062,0.586,0.916,0.083,0.001,226.84,0
inf_100028,Rowan Moore,YouTube,Health,Nigeria,4564,148,30.84,99,2020,2080,10,103,12,7888,0.0222,252,0.459,0,-0.413,Long-form,0.29,0.078,0.455,0.351,0.116,0,0.331,0.665,0.004,79.71,0.035
inf_100029,Avery Lewis,Instagram,Tech,Kenya,9690,3148,3.08,710,2019,2325,4,78,11,142,0.0078,84,0.221,0,0.337,Reel,0.251,0.134,0.076,0.246,0.142,0.401,0.816,0.182,0.001,5000,0
inf_100030,Sam Harris,YouTube,Fitness,United States,1893,945,2,87,2018,2845,2,33,3,5347,0.0264,4,0.096,0,-0.017,Long-form,0.574,0.094,0.095,0.14,0.269,0.402,0.253,0.747,0,355.5,0.024
inf_100031,Hayden Thomas,Instagram,Travel,United Kingdom,1381,171,8.08,405,2019,2379,9,32,5,92,0.0209,26,0.262,0,-0.103,Photo,0.504,0.011,0.302,0.296,0.041,0.349,0.38,0.617,0.002,215.85,0.074
inf_100032,Jordan Hall,Instagram,Finance,Japan,11074,1592,6.96,20,2023,976,5,228,33,558,0.0187,19,0.439,0,0.281,Carousel,0.118,0.001,0.38,0.265,0.026,0.328,0.73,0.269,0.001,1396.93,0
inf_100033,Skyler Johnson,Twitter,Food,Australia,4092,104,39.35,81,2018,2874,1,94,12,257,0.0191,97,0.223,0,0.059,Text,0.52,0.03,0.267,0.131,0.158,0.414,0.325,0.675,0.001,1308.24,0.072
inf_100034,Robin Martinez,Twitter,Education,Philippines,4662,641,7.27,86,2016,3290,4,69,2,223,0.0221,263,0.109,0,-0.075,Text,0.743,0.012,0.282,0.195,0.053,0.458,0.112,0.888,0,721.31,0
inf_100035,Harper Jackson,TikTok,Health,United Kingdom,2190,354,6.19,11,2024,648,5,47,1,1570,0.0261,-89,0.156,0,0.046,Short,0.522,0.053,0.229,0.251,0.056,0.41,0.114,0.886,0,2564.56,0
inf_100036,Reese Perez,Instagram,Entertainment,Canada,4418,440,10.04,25,2017,3035,2,110,16,395,0.0223,34,0.611,0,-0.046,Story,0.279,0,0.087,0.177,0.262,0.474,0.73,0.267,0.004,951.97,0
inf_100037,Jules Davis,Instagram,Travel,France,1456,132,11.03,43,2017,3212,1,36,1,139,0.0356,111,0.361,0,-0.105,Photo,0.651,0.037,0.199,0.148,0.113,0.503,0.16,0.837,0.003,617.29,0.056
inf_100038,Sydney Lee,YouTube,Art,France,36757,6838,5.38,364,2020,1992,6,1084,26,67298,0.0258,-63,0.168,0,0.184,Long-form,0.046,0.01,0.314,0.238,0.01,0.428,0.379,0.607,0.014,454.06,0
inf_100039,Charlie Johnson,Instagram,Finance,Germany,33481,5743,5.83,13,2020,1976,1,419,69,1276,0.0194,1353,0.06,0,0.084,Reel,0.785,0,0.234,0.253,0.174,0.339,0.45,0.549,0,2629.3,0.001
inf_100040,Sam Martin,Instagram,Health,Mexico,500,49,10.2,71,2023,1081,3,6,0,50,0.0154,18,0.196,1,0.33,Photo,0.395,0.011,0.279,0.176,0.253,0.281,0.05,0.945,0.005,568.32,0
inf_100041,Morgan Clark,YouTube,Fashion,United States,1999,659,3.03,5,2023,898,3,74,4,2622,0.0293,-66,0.449,0,-0.457,Long-form,0.195,0.032,0.119,0.316,0.09,0.444,0.265,0.733,0.002,220.43,0.036
inf_100042,Cameron Johnson,Instagram,Entertainment,Mexico,582,10,58.2,238,2023,1046,2,16,2,63,0.0227,11,0.307,0,0.075,Photo,0.036,0.017,0.159,0.07,0.011,0.743,0.612,0.385,0.003,2181.46,0.022
inf_100043,Jules Nguyen,Twitter,Fashion,Mexico,1563,466,3.35,194,2016,3433,3,39,1,118,0.0226,26,0.303,0,0.461,Text,0.315,0.015,0.05,0.295,0.203,0.437,0.268,0.729,0.003,3663.15,0
inf_100044,Jules Wang,Instagram,Food,United Kingdom,5591,549,10.18,207,2016,3593,4,76,4,172,0.0105,590,0.306,0,-0.1,Photo,0.398,0.033,0.427,0.229,0.188,0.123,0.559,0.437,0.004,2744.25,0.018
inf_100045,Skyler Kumar,YouTube,Health,Philippines,869,139,6.25,94,2017,3146,1,29,3,1849,0.0294,-60,0.29,0,-0.003,Long-form,0.246,0.054,0.249,0.088,0.034,0.575,0.54,0.456,0.004,1001.26,0.009
inf_100046,Hayden Jackson,Instagram,Beauty,Indonesia,1461,348,4.2,47,2019,2260,5,73,10,187,0.0496,-56,0.256,0,0.477,Carousel,0.304,0.076,0.192,0.186,0.151,0.394,0.328,0.67,0.002,586.34,0.012
inf_100047,Harper Davis,YouTube,Health,United States,1774,357,4.97,255,2020,1968,6,46,0,1066,0.0191,6,0.194,1,-0.619,Long-form,0.114,0.029,0.458,0.396,0.117,0,0.621,0.377,0.002,333.52,0.016
inf_100048,Riley Davis,YouTube,Fashion,United States,12324,1577,7.81,333,2024,525,7,376,27,30179,0.0264,-9,0.324,0,0.527,Long-form,0.244,0.006,0.167,0.157,0.131,0.539,0.509,0.49,0.002,563.36,0.033
inf_100049,Rowan Lee,Instagram,Parenting,Philippines,7138,816,8.75,30,2024,538,4,253,13,681,0.0328,-118,0.222,0,0.234,Reel,0.217,0.005,0.071,0.095,0.112,0.717,0.883,0.114,0.003,1815.55,0
inf_100050,Kai Kumar,Twitter,Health,India,1394,228,6.11,133,2016,3317,1,24,4,81,0.0193,-20,0.436,0,0.033,Link,0.617,0.039,0.053,0.181,0.082,0.645,0.698,0.299,0.002,3147.42,0.016
inf_100051,Charlie Hall,TikTok,Photography,United Kingdom,9783,3194,3.06,57,2020,1887,6,12,1,7026,0.001,299,0.336,0,0.339,Short,0.235,0.039,0.083,0.134,0.101,0.644,0.169,0.829,0.001,3440.47,0
inf_100052,Kai Jackson,Twitter,Parenting,Japan,1844,412,4.48,37,2021,1724,4,47,3,122,0.0306,-28,0.103,0,0.013,Text,0.411,0.008,0.174,0.153,0.016,0.649,0.366,0.63,0.004,541.56,0
inf_100053,Taylor Moore,TikTok,Travel,Canada,4773,408,11.7,265,2019,2438,6,67,2,11311,0.0232,-30,0.199,0,-0.238,Short,0.297,0.005,0.161,0.246,0.188,0.401,0.667,0.331,0.002,1460.02,0
inf_100054,Blake Brown,YouTube,Lifestyle,Australia,128709,54280,2.37,154,2020,2154,4,2027,234,382062,0.0208,66744,1,1,-0.183,Long-form,0.27,0.079,0.051,0.161,0.111,0.597,0.507,0.489,0.004,1952.76,0
inf_100055,Robin Harris,Twitter,Finance,India,37773,1729,21.85,49,2018,2849,5,525,64,1917,0.0202,1333,0.383,0,-0.069,Text,0.023,0.01,0.208,0.239,0.099,0.445,0.729,0.27,0.001,1258.21,0
inf_100056,Morgan Brown,Instagram,Food,Indonesia,798,286,2.79,74,2020,2183,2,25,3,89,0.0372,-3,0.493,0,-0.108,Photo,0.195,0.061,0.302,0.457,0.181,0,0.657,0.342,0.001,1097.59,0.003
inf_100057,Hayden Gonzalez,Instagram,Health,Mexico,24099,6269,3.84,680,2017,3171,1,593,39,1033,0.0195,-819,0.198,0,0.16,Reel,0.293,0.001,0.195,0.151,0.062,0.591,0.597,0.4,0.003,1569.83,0.026
inf_100058,Avery Hall,Instagram,Food,France,23402,1193,19.62,378,2019,2423,4,997,176,3503,0.038,851,0.433,0,0.055,Reel,0.322,0.003,0.379,0.089,0.027,0.502,0.276,0.722,0.002,624.7,0
inf_100059,Blake White,Instagram,Photography,Kenya,1017,327,3.11,424,2017,3031,4,23,2,50,0.0319,-19,0.366,0,0.11,Reel,0.131,0.179,0.253,0.419,0.082,0.066,0.146,0.85,0.004,656.86,0
inf_100060,Robin Nguyen,Instagram,Lifestyle,Mexico,23680,6329,3.74,123,2021,1798,2,832,56,1326,0.0286,1155,0.125,0,0.528,Story,0.263,0.066,0.107,0.383,0.055,0.389,0.145,0.848,0.008,405.2,0
inf_100061,Kai Miller,Instagram,Entertainment,United States,74835,18255,4.1,196,2016,3437,2,1434,108,1907,0.0191,1690,0.473,0,-0.061,Reel,0.359,0.005,0.42,0.142,0.121,0.312,0.346,0.648,0.006,2162.19,0.041
inf_100062,Harper Clark,TikTok,Food,Brazil,1224,112,10.93,95,2023,887,2,34,3,3201,0.0277,5,0.05,0,0.532,Short,0.107,0.016,0.186,0.39,0.188,0.22,0.57,0.428,0.003,360.13,0
inf_100063,Elliot Smith,Instagram,Fitness,Brazil,1471,251,5.86,16,2020,2058,7,10,1,50,0.0079,34,0.437,0,0.417,Carousel,0.25,0.027,0.163,0.249,0.184,0.377,0.525,0.473,0.003,4367.56,0.058
inf_100064,Morgan Robinson,Instagram,Photography,Germany,32553,3887,8.37,103,2024,452,2,645,88,912,0.0154,-1581,0.403,0,-0.58,Photo,0.712,0.109,0.248,0.331,0.039,0.273,0.459,0.536,0.005,2883.04,0.06
inf_100065,Sam Lewis,YouTube,Art,France,13660,3119,4.38,180,2018,2654,5,351,39,13166,0.0301,743,0.259,0,-0.287,Shorts,0.602,0.064,0.213,0.33,0.12,0.273,0.24,0.758,0.002,353.19,0.007
inf_100066,Quinn Gonzalez,Instagram,Fitness,Japan,15440,1121,13.77,68,2016,3421,2,211,9,573,0.0203,58,0.227,0,-0.302,Story,0.063,0.051,0.33,0.276,0.096,0.246,0.761,0.238,0.001,1135.33,0
inf_100067,Avery Johnson,TikTok,Photography,Kenya,12714,5609,2.27,377,2021,1520,5,124,5,34028,0.0116,191,0.157,0,0.564,Live,0.013,0.012,0.392,0.282,0.223,0.091,0.535,0.463,0.002,946.96,0
inf_100068,Jamie Hall,Instagram,Food,Spain,11937,2384,5.01,33,2023,962,7,215,21,484,0.0154,-87,0.162,0,0.074,Carousel,0.269,0.066,0.332,0.122,0.082,0.397,0.233,0.764,0.004,368.3,0.045
inf_100069,Sydney Perez,Twitter,Travel,India,530,75,7.07,91,2019,2411,6,11,1,50,0.0189,3,0.2,0,-0.047,Image,0.156,0.012,0.108,0.144,0.149,0.586,0.59,0.399,0.011,1443.66,0
inf_100070,Charlie Miller,TikTok,Gaming,Kenya,39387,9749,4.04,27,2020,2010,3,574,80,29521,0.0194,2282,0.76,1,-0.417,Short,0.3,0.109,0.059,0.198,0.155,0.478,0.841,0.158,0.002,883.94,0
inf_100071,Jamie Jackson,Instagram,Gaming,Philippines,41510,17087,2.43,104,2019,2523,5,375,21,674,0.0131,79,0.265,0,0.373,Reel,0.699,0.005,0.2,0.055,0.046,0.694,0.15,0.846,0.004,4397.7,0
inf_100072,Parker Gonzalez,Instagram,Fashion,Australia,4426,498,8.89,8,2018,2701,3,176,6,246,0.0354,-11,0.321,0,-0.055,Reel,0.385,0.045,0.126,0.193,0.07,0.566,0.454,0.545,0.001,1084.33,0.026
inf_100073,Kendall Hall,TikTok,Beauty,Japan,6877,2203,3.12,64,2019,2486,6,186,15,9674,0.0238,210,0.33,0,-0.577,Short,0.009,0.057,0.197,0.308,0.02,0.418,0.413,0.585,0.001,1006.48,0
inf_100074,Blake Lopez,TikTok,Entertainment,Indonesia,636,126,5.05,102,2019,2222,4,6,1,1204,0.0114,12,0.257,0,0.578,Short,0.482,0.039,0.253,0.212,0.158,0.338,0.343,0.657,0,363.12,0.047
inf_100075,Casey Kumar,TikTok,Education,Canada,16785,2655,6.32,130,2019,2520,7,716,76,17907,0.0335,950,0.416,0,0.026,Short,0.422,0.034,0.247,0.326,0.172,0.221,0.183,0.806,0.012,486.95,0
inf_100076,Casey Nguyen,TikTok,Fashion,Kenya,18412,353,52.16,157,2020,2079,2,515,36,47580,0.0203,-930,0.1,0,0.465,Short,0.181,0.017,0.378,0.108,0.038,0.459,0.732,0.267,0.001,1115.13,0
inf_100077,Dakota Thomas,Instagram,Travel,France,5783,1243,4.65,64,2022,1165,2,117,8,461,0.0267,-22,0.282,0,0.063,Photo,0.092,0.054,0.111,0.091,0.183,0.562,0.05,0.949,0.001,536.7,0.102
inf_100078,Robin Kumar,Instagram,Travel,Canada,38612,10579,3.65,148,2017,3149,5,909,37,1236,0.0222,-1264,0.296,0,-0.092,Photo,0.255,0.01,0.083,0.513,0.18,0.214,0.609,0.389,0.002,188.1,0
inf_100079,Dakota Taylor,Instagram,Education,Kenya,3744,1305,2.87,142,2016,3541,5,60,5,63,0.0266,176,0.512,0,0.012,Story,0.346,0.053,0.217,0.22,0.223,0.287,0.459,0.541,0,308.91,0.077
inf_100080,Emerson Perez,TikTok,Art,Indonesia,18193,5267,3.45,76,2020,1984,8,379,55,44252,0.0178,-523,0.54,0,0.142,Live,0.201,0.096,0.331,0.392,0.063,0.118,0.647,0.347,0.006,5000,0
inf_100081,Sydney Gonzalez,YouTube,Photography,Japan,1731,285,6.07,355,2019,2489,3,43,7,1410,0.0272,34,0.144,0,-0.123,Shorts,0.462,0.051,0.168,0.05,0.094,0.637,0.42,0.577,0.003,1044.82,0
inf_100082,Rowan Nguyen,Instagram,Tech,United Kingdom,6152,582,10.57,158,2024,567,3,96,9,197,0.0208,-180,0.565,0,-0.537,Carousel,0.016,0.021,0.116,0.436,0.177,0.25,0.574,0.422,0.004,1189.36,0
inf_100083,Casey Anderson,Instagram,Parenting,Canada,4833,105,46.03,81,2017,3263,3,149,6,325,0.0257,-24,0.51,0,-0.658,Photo,0.266,0.001,0.144,0.158,0.051,0.646,0.152,0.847,0.001,1799.46,0.088
inf_100084,Parker Johnson,Instagram,Gaming,United States,9162,2787,3.29,589,2021,1629,3,228,29,854,0.0199,-182,0.198,0,0.097,Photo,0.296,0.183,0.216,0.205,0.217,0.179,0.224,0.775,0,848.45,0.076
inf_100085,Elliot Smith,Instagram,Fashion,Nigeria,3537,881,4.01,373,2017,3212,5,49,6,145,0.0202,35,0.043,0,0.221,Photo,0.076,0.009,0.079,0.386,0.057,0.469,0.35,0.649,0,935.51,0.026
inf_100086,Jules Wang,TikTok,Beauty,Mexico,5973,1053,5.67,810,2017,3119,1,34,1,2446,0.0092,423,0.364,0,-0.004,Short,0.136,0.034,0.28,0.164,0.083,0.439,0.564,0.435,0.001,4652.93,0
inf_100087,Casey Jackson,YouTube,Education,Japan,33172,2901,11.43,236,2016,3641,1,572,89,11278,0.0199,-1087,0.244,0,-0.225,Shorts,0.147,0.008,0.094,0.42,0.079,0.398,0.357,0.642,0.002,1443.12,0
inf_100088,Riley Lewis,TikTok,Art,Brazil,3664,142,25.8,95,2018,2824,4,100,15,3073,0.0249,-88,0.106,0,-0.058,Short,0.107,0.023,0.212,0.231,0.049,0.485,0.373,0.625,0.002,2095.25,0
inf_100089,Kai Rodriguez,YouTube,Education,Brazil,676,285,2.37,66,2021,1602,5,37,3,783,0.0448,19,0.161,0,0.109,Shorts,0.291,0.104,0.155,0.43,0.202,0.108,0.439,0.56,0.001,468.3,0
inf_100090,Reese Johnson,Instagram,Gaming,Mexico,104998,42206,2.49,218,2018,2853,3,2426,266,5952,0.0223,569,0.047,0,0.204,Photo,0.209,0.012,0.14,0.11,0.053,0.686,0.351,0.63,0.019,2378.16,0
inf_100091,Skyler Gonzalez,TikTok,Fitness,Philippines,67224,34499,1.95,791,2020,1919,5,973,130,172239,0.0136,-1894,0.186,0,0.056,Short,0.184,0.072,0.232,0.223,0.041,0.432,0.653,0.344,0.003,5000,0
inf_100092,Reese Lopez,TikTok,Food,United States,933,404,2.31,197,2016,3648,1,17,2,1072,0.0149,-4,0.41,0,-0.168,Short,0.365,0.007,0.41,0.399,0.08,0.105,0.69,0.308,0.002,657.6,0
inf_100093,Drew Kumar,YouTube,Photography,Kenya,26670,4509,5.91,427,2024,417,2,610,13,35115,0.0224,-944,0.047,0,0.515,Long-form,0.37,0.006,0.305,0.287,0.2,0.203,0.483,0.517,0,428.93,0.009
inf_100094,Robin Walker,TikTok,Lifestyle,Indonesia,3297,252,13.08,80,2016,3524,2,58,2,3920,0.0162,-16,0.254,0,-0.199,Short,0.564,0.075,0.069,0.079,0.078,0.699,0.534,0.462,0.004,677.83,0.025
inf_100095,Alex Martin,YouTube,Photography,Nigeria,13485,1951,6.91,104,2023,1036,2,222,10,4371,0.0163,-258,0.027,0,-0.18,Long-form,0.069,0.015,0.085,0.292,0.198,0.41,0.607,0.388,0.004,285.15,0
inf_100096,Dakota Wang,YouTube,Gaming,Indonesia,14166,1263,11.22,473,2024,373,6,271,38,40784,0.0147,274,0.501,0,-0.086,Shorts,0.334,0.048,0.463,0.112,0.093,0.285,0.109,0.89,0,2037.6,0
inf_100097,Kai Perez,Instagram,Art,India,4391,466,9.42,283,2023,1055,6,67,6,94,0.0196,129,0.992,1,0.275,Reel,0.112,0.013,0.124,0.219,0.126,0.517,0.735,0.262,0.004,1185.2,0.031
inf_100098,Robin Clark,Instagram,Entertainment,Japan,1822,452,4.03,797,2024,447,1,45,4,83,0.031,-127,0.368,0,0.247,Carousel,0.213,0.02,0.167,0.402,0.032,0.38,0.286,0.707,0.007,1480.44,0
inf_100099,Avery Clark,Instagram,Health,Mexico,2116,181,11.69,298,2022,1413,1,7,1,50,0.0048,28,0.042,0,0.095,Photo,0.177,0.058,0.165,0.196,0.1,0.48,0.559,0.439,0.001,5000,0.064
inf_100100,Blake Miller,Instagram,Art,Brazil,1475,307,4.8,119,2024,589,4,68,5,168,0.0369,-87,0.518,0,-0.3,Photo,0.324,0.039,0.05,0.095,0.097,0.72,0.75,0.24,0.01,1698.76,0
inf_100101,Jordan Martinez,YouTube,Finance,Canada,2338,139,16.82,151,2018,2842,3,46,6,6585,0.0216,24,0.309,0,-0.205,Shorts,0.11,0.006,0.134,0.158,0.126,0.577,0.463,0.536,0.002,423.09,0.055
inf_100102,Emerson Brown,Instagram,Finance,Mexico,5738,1143,5.02,462,2021,1816,4,83,7,108,0.0166,331,0.214,0,-0.007,Carousel,0.515,0.047,0.211,0.221,0.045,0.476,0.949,0.05,0.001,388.53,0
inf_100103,Hayden Patel,YouTube,Parenting,Kenya,2815,482,5.84,160,2021,1582,5,122,9,4195,0.0315,-1,0.182,0,-0.046,Live,0.39,0.023,0.286,0.17,0.025,0.496,0.629,0.369,0.002,581.3,0
inf_100104,Dakota Perez,Twitter,Tech,United Kingdom,13173,5747,2.29,59,2021,1506,8,341,24,363,0.0193,233,0.136,0,-0.055,Link,0.133,0.003,0.061,0.148,0.043,0.745,0.765,0.232,0.003,921.23,0
inf_100105,Dakota Kumar,Instagram,Lifestyle,Nigeria,69006,4329,15.94,114,2017,3247,4,1057,184,3501,0.0111,2217,0.071,0,0.524,Reel,0.24,0.042,0.242,0.305,0.058,0.353,0.508,0.491,0.001,5000,0
inf_100106,Drew Clark,Instagram,Gaming,Mexico,2525,324,7.79,145,2016,3307,6,16,2,50,0.0092,84,0.304,0,0.982,Photo,0.394,0.048,0.117,0.179,0.081,0.575,0.273,0.726,0,1767.02,0.025
inf_100107,Riley Anderson,TikTok,Art,United States,10813,1432,7.55,20,2019,2312,3,386,8,23671,0.0273,379,0.328,0,-0.175,Short,0.186,0.002,0.243,0.247,0.12,0.387,0.534,0.464,0.002,840.09,0.04
inf_100108,Lee Wang,Instagram,Finance,Mexico,14212,4673,3.04,272,2017,3172,5,335,58,809,0.0273,328,0.537,0,0.211,Photo,0.466,0.001,0.055,0.316,0.065,0.563,0.779,0.219,0.002,1099.63,0.04
inf_100109,Jules Jackson,Instagram,Finance,Brazil,13596,2107,6.45,23,2019,2385,6,145,20,539,0.0176,-171,0.233,0,0.346,Photo,0.017,0.067,0.249,0.278,0.03,0.377,0.43,0.566,0.003,2217.33,0.087
inf_100110,Cameron Robinson,Instagram,Fashion,Philippines,7215,1784,4.04,104,2016,3407,3,220,9,490,0.0334,212,0.272,0,-0.092,Story,0.212,0.041,0.058,0.337,0.137,0.426,0.834,0.161,0.005,227.11,0
inf_100111,Blake Anderson,Instagram,Entertainment,Japan,20966,4292,4.88,327,2019,2490,3,438,14,1113,0.0208,1147,0.059,0,-0.126,Reel,0.446,0.006,0.193,0.12,0.056,0.624,0.535,0.463,0.002,1812.05,0.029
inf_100112,Reese Lee,Twitter,Food,Australia,9568,658,14.54,126,2021,1540,3,216,14,666,0.0329,235,0.887,1,-0.334,Text,0.415,0.007,0.11,0.288,0.208,0.386,0.622,0.378,0,526.95,0.071
inf_100113,Casey Davis,TikTok,Parenting,Mexico,1017,94,10.82,369,2022,1444,6,16,1,1734,0.0154,16,0.34,0,0.22,Live,0.001,0.003,0.15,0.265,0.241,0.341,0.584,0.408,0.008,609.52,0.009
inf_100114,Elliot Brown,YouTube,Travel,Japan,35541,9987,3.56,84,2018,2769,6,503,59,28831,0.0113,-1430,0.291,0,0.232,Long-form,0.369,0.022,0.177,0.401,0.041,0.358,0.403,0.597,0,346.15,0.044
